model,dataset,loss
full,AST,0.66652
full,AST,0.58373
full,AST,0.70107
full,AST,0.9572742
full,AST,0.805945
full,AST,0.85220456
full,AST,0.86110586
full,AST,0.74008846
full,AST,0.85552555
full,AST,0.67071295
full,AST,0.96084654
full,AST,0.62907016
full,AST,0.789647
full,AST,0.6358288
full,AST,0.9136326
full,AST,0.35207474
full,AST,0.7922816
full,AST,0.65552443
full,AST,0.7026094
full,AST,0.6817103
full,AST,0.82854265
full,AST,0.7779862
full,AST,0.7517511
full,AST,0.8215883
full,AST,0.6915375
full,AST,0.9631208
full,AST,0.8067568
full,AST,0.7541318
full,AST,0.9102652
full,AST,0.88514924
full,AST,0.74528164
full,AST,0.606755
full,AST,0.79549813
full,AST,0.65140224
full,AST,0.83122
full,AST,0.7286663
full,AST,0.83455753
full,AST,0.8623839
full,AST,0.85801446
full,AST,0.90554714
full,AST,0.7781922
full,AST,0.8484835
full,AST,0.8234047
full,AST,0.59238267
full,AST,0.549129
full,AST,0.9379651
full,AST,0.6782024
full,AST,0.86559385
full,AST,0.41742557
full,AST,0.93120134
full,AST,0.34897453
full,AST,0.7366625
full,AST,0.9325338
full,AST,0.91167694
full,AST,0.7576659
full,AST,0.9262793
full,AST,0.9606796
full,AST,0.9027123
full,AST,0.7659023
full,AST,0.8123873
full,AST,0.6413268
full,AST,0.94746625
full,AST,0.6387501
full,AST,0.7087027
full,AST,0.81420773
full,AST,0.92501223
full,AST,0.92355967
full,AST,0.9071462
full,AST,0.81243014
full,AST,0.9781652
full,AST,0.90609264
full,AST,0.746802
full,AST,0.66532207
full,AST,0.7260065
full,AST,0.83830976
full,AST,0.76675403
full,AST,0.65345407
full,AST,0.7496942
full,AST,0.7726599
full,AST,0.82586503
full,AST,0.75791645
full,AST,0.53092855
full,AST,0.74204636
full,AST,0.8316676
full,AST,0.916505
full,AST,0.8561946
full,AST,0.83517057
full,AST,0.8666363
full,AST,0.93054724
full,AST,0.94373465
full,AST,0.90012896
full,AST,0.8366601
full,AST,0.9227574
full,AST,0.6359023
full,AST,0.9384388
full,AST,0.66160613
full,AST,0.9534992
full,AST,0.7513194
full,AST,0.9237888
full,AST,0.74310166
full,AST,0.8098548
full,AST,0.7722808
full,AST,0.8868877
full,AST,0.85739154
full,AST,0.87572575
full,AST,0.87757725
full,AST,0.62037146
full,AST,0.8639822
full,AST,0.41254443
full,AST,0.8822409
full,AST,0.753031
full,AST,0.8975868
full,AST,0.8578204
full,AST,0.86747956
full,AST,0.835002
full,AST,0.8366921
full,AST,0.9438418
full,AST,0.6976497
full,AST,0.9031395
full,AST,0.5053256
full,AST,0.7388332
full,AST,0.9511287
full,AST,0.9305312
full,AST,0.9065562
full,AST,0.92318934
full,AST,0.4290403
full,AST,0.7635682
full,AST,0.8831324
full,AST,0.8332653
full,AST,0.7722064
full,AST,0.8432665
full,AST,0.3175876
full,AST,0.73073256
full,AST,0.7149493
full,AST,0.7139491
full,AST,0.5476208
full,AST,0.88815695
full,AST,0.85805
full,AST,0.8552029
full,AST,0.5641964
full,AST,0.85179114
full,AST,0.72862977
full,AST,0.70906496
full,AST,0.8794959
full,AST,0.8607847
full,AST,0.81745356
full,AST,0.765019
full,AST,0.9640326
full,AST,0.4184034
full,AST,0.9034133
full,AST,0.35855395
full,AST,0.6651567
full,AST,0.8210168
full,AST,0.7488086
full,AST,0.93643737
full,AST,0.9380162
full,AST,0.8066199
full,AST,0.8900817
full,AST,0.8957192
full,AST,0.85185003
full,AST,0.74940324
full,AST,0.7252854
full,AST,0.7739564
full,AST,0.5854889
full,AST,0.967284
full,AST,0.84166896
full,AST,0.8639904
full,AST,0.60356766
full,AST,0.886078
full,AST,0.9124289
full,AST,0.6258644
full,AST,0.81751204
full,AST,0.8468259
full,AST,0.8871571
full,AST,0.87353694
full,AST,0.926944
full,AST,0.896777
full,AST,0.84551716
full,AST,0.55297923
full,AST,0.83453804
full,AST,0.9030887
full,AST,0.8263825
full,AST,0.6322938
full,AST,0.8371021
full,AST,0.8984936
full,AST,0.6715834
full,AST,0.5654163
full,AST,0.7307394
full,AST,0.77574545
full,AST,0.9141972
full,AST,0.96353805
full,AST,0.7201454
full,AST,0.88681734
full,AST,0.888543
full,AST,0.6092754
full,AST,0.7124332
full,AST,0.79261714
full,AST,0.9269619
full,AST,0.91295457
full,AST,0.9356023
full,AST,0.62405884
full,AST,0.8093925
full,AST,0.85804105
full,AST,0.75750786
full,AST,0.63276064
full,AST,0.90420735
full,AST,0.7942854
full,AST,0.69907355
full,AST,0.8441442
full,AST,0.90728104
full,AST,0.6515324
full,AST,0.93370295
full,AST,0.7145119
full,AST,0.86280006
full,AST,0.8224894
full,AST,0.7351601
full,AST,0.7171869
full,AST,0.6848407
full,AST,0.8195633
full,AST,0.71349525
full,AST,0.46972907
full,AST,0.8540978
full,AST,0.8044874
full,AST,0.80406535
full,AST,0.5399101
full,AST,0.9551502
full,AST,0.7921112
full,AST,0.76666844
full,AST,0.8229908
full,AST,0.7866316
full,AST,0.91296047
full,AST,0.83860815
full,AST,0.9504365
full,AST,0.86709374
full,AST,0.8391917
full,AST,0.88173217
full,AST,0.8642988
full,AST,0.9013685
full,AST,0.6081758
full,AST,0.7642894
full,AST,0.9038027
full,AST,0.73981506
full,AST,0.70992637
full,AST,0.83556604
full,AST,0.81666553
full,AST,0.9033252
full,AST,0.7826357
full,AST,0.694193
full,AST,0.87197554
full,AST,0.8990551
full,AST,0.82571715
full,AST,0.7706306
full,AST,0.8577284
full,AST,0.9248703
full,AST,0.5495479
full,AST,0.1523844
full,AST,0.902287
full,AST,0.845548
full,AST,0.908323
full,AST,0.639961
full,AST,0.841015
full,AST,0.93583643
full,AST,0.45519382
full,AST,0.8301453
full,AST,0.88170177
full,AST,0.8421531
full,AST,0.84446174
full,AST,0.8812976
full,AST,0.8525224
full,AST,0.89760363
full,AST,0.767675
full,AST,0.79755116
full,AST,0.8688009
full,AST,0.79142374
full,AST,0.5523761
full,AST,0.94157743
full,AST,0.87897575
full,AST,0.92663056
full,AST,0.8497364
full,AST,0.6020291
full,AST,0.9220666
full,AST,0.8470155
full,AST,0.8511425
full,AST,0.8379533
full,AST,0.8573015
full,AST,0.5268835
full,AST,0.71435606
full,AST,0.8997324
full,AST,0.75357985
full,AST,0.9135771
full,AST,0.7218038
full,AST,0.7870809
full,AST,0.9252603
full,AST,0.8348743
full,AST,0.5627117
full,AST,0.74483716
full,AST,0.81780916
full,AST,0.8828125
full,AST,0.9001127
full,AST,0.83739966
full,AST,0.8384243
full,AST,0.80437046
full,AST,0.9153538
full,AST,0.82969165
full,AST,0.9085692
full,AST,0.9413019
full,AST,0.8781953
full,AST,0.92560226
full,AST,0.7406633
full,AST,0.6791738
full,AST,0.9544161
full,AST,0.92679405
full,AST,0.6619003
full,AST,0.37830186
full,AST,0.65234935
full,AST,0.9468625
full,AST,0.94270545
full,AST,0.8813629
full,AST,0.9226875
full,AST,0.89127105
full,AST,0.8481463
full,AST,0.89923596
full,AST,0.7976359
full,AST,0.84056866
full,AST,0.77482945
full,AST,0.8277641
full,AST,0.80401325
full,AST,0.76146615
full,AST,0.9050448
full,AST,0.7566617
full,AST,0.33289546
full,AST,0.87240463
full,AST,0.93232316
full,AST,0.8658253
full,AST,0.52681935
full,AST,0.84374344
full,AST,0.85522485
full,AST,0.7839904
full,AST,0.65645015
full,AST,0.8551136
full,AST,0.84246695
full,AST,0.87011784
full,AST,0.80997884
full,AST,0.66566837
full,AST,0.93220526
full,AST,0.5826894
full,AST,0.5987031
full,AST,0.708373
full,AST,0.70842063
full,AST,0.8306678
full,AST,0.92707103
full,AST,0.8565766
full,AST,0.87327516
full,AST,0.61287796
full,AST,0.87818986
full,AST,0.6682875
full,AST,0.83006907
full,AST,0.77461195
full,AST,0.88714826
full,AST,0.83358467
full,AST,0.8894285
full,AST,0.7792226
full,AST,0.8191712
full,AST,0.72792995
full,AST,0.40663254
full,AST,0.8104236
full,AST,0.8264196
full,AST,0.87668264
full,AST,0.71549964
full,AST,0.08281726
full,AST,0.7924597
full,AST,0.36508572
full,AST,0.6389226
full,AST,0.38254648
full,AST,0.92444736
full,AST,0.8083651
full,AST,0.62784684
full,AST,0.43200207
full,AST,0.7263798
full,AST,0.51132333
full,AST,0.7046805
full,AST,0.8198283
full,AST,0.7893759
full,AST,0.9325449
full,AST,0.803094
full,AST,0.8334609
full,AST,0.8787947
full,AST,0.8845477
full,AST,0.87719065
full,AST,0.60949826
full,AST,0.86635375
full,AST,0.84664446
full,AST,0.82713854
full,AST,0.61026555
full,AST,0.86108905
full,AST,0.87662333
full,AST,0.87851334
full,AST,0.7525155
full,AST,0.35494322
full,AST,0.7357592
full,AST,0.69994247
full,AST,0.78960615
full,AST,0.89939404
full,AST,0.50092465
full,AST,0.5979285
full,AST,0.82261235
full,AST,0.70933515
full,AST,0.949709
full,AST,0.906537
full,AST,0.90579516
full,AST,0.9367457
full,AST,0.6770791
full,AST,0.8846445
full,AST,0.9000513
full,AST,0.87902355
full,AST,0.71078706
full,AST,0.86557305
full,AST,0.90147084
full,AST,0.7532576
full,AST,0.3666886
full,AST,0.80772114
full,AST,0.5692701
full,AST,0.9549426
full,AST,0.85658306
full,AST,0.363536
full,AST,0.94601226
full,AST,0.6119733
full,AST,0.9256582
full,AST,0.9293873
full,AST,0.8697821
